,discount,price,no of items,location,segment,sub-class,delivery type,profit
0,0.2,16.448,2,Central,Consumer,phone,Standard Class,5.5512
1,0.0,29.7,5,Central,Consumer,headset,Standard Class,13.365
2,0.0,14.73,3,Central,Consumer,shorts,Standard Class,4.8609
3,0.0,43.92,3,Central,Consumer,television,Standard Class,12.7368
4,0.0,66.58,2,Central,Consumer,laptop,Standard Class,15.9792
5,0.1,247.71599999999998,4,Central,Consumer,battery,Standard Class,93.5816
6,0.0,19.05,5,Central,Consumer,headset,Standard Class,8.9535
7,0.0,272.94,3,Central,Consumer,shorts,Standard Class,30.0234
8,0.7,67.194,1,South,Corporate,headset,Standard Class,-51.5154
9,0.0,13.98,1,Central,Consumer,laptop,Standard Class,4.0542
10,0.0,1067.94,3,South,Consumer,tshirts,Standard Class,224.2674
11,0.0,23.34,3,South,Consumer,watch,Standard Class,10.9698
12,0.0,6.63,3,South,Consumer,television,Standard Class,1.7901
13,0.0,38.6,4,South,Consumer,shorts,Standard Class,11.58
14,0.0,22.96,7,South,Consumer,television,Standard Class,6.6584
15,0.0,699.93,7,South,Consumer,colddrinks,Standard Class,181.9818
16,0.7,181.47,5,West,Consumer,pants,First Class,-320.597
17,0.0,19.36,2,West,Consumer,phone,Standard Class,9.2928
18,0.2,108.72,5,West,Consumer,watch,First Class,36.693000000000005
19,0.2,25.248,3,South,Consumer,shorts,Second Class,4.1028
20,0.0,5.94,3,Central,Consumer,lighting,Standard Class,0.0
21,0.15,290.666,2,West,Consumer,pants,First Class,3.4196
22,0.0,229.94,2,Central,Consumer,laptop,Standard Class,6.8982
23,0.0,10.56,2,Central,Consumer,phone,Standard Class,4.752
24,0.2,3.928,1,East,Consumer,headset,Standard Class,1.3257
25,0.0,36.44,4,West,Consumer,television,Standard Class,12.0252
26,0.2,333.0,3,West,Consumer,hoodies,Standard Class,-16.65
27,0.0,57.23,1,West,Consumer,laptop,Standard Class,14.3075
28,0.0,40.08,6,West,Consumer,phone,Standard Class,19.2384
29,0.0,141.96,2,Central,Corporate,pants,First Class,39.7488
30,0.0,187.98,2,South,Home Office,colddrinks,Standard Class,52.6344
31,0.0,12.42,3,South,Home Office,shorts,Standard Class,4.4712
32,0.0,155.35,13,South,Home Office,colddrinks,Standard Class,0.0
33,0.0,16.68,2,South,Home Office,phone,Standard Class,8.34
34,0.0,19.44,3,South,Home Office,phone,Standard Class,9.3312
35,0.0,489.92,8,South,Home Office,laptop,Standard Class,0.0
36,0.0,62.82,3,South,Home Office,shorts,Standard Class,30.7818
37,0.0,10.68,2,Central,Corporate,headset,First Class,5.0196
38,0.2,56.06399999999999,4,West,Consumer,phone,First Class,19.6224
39,0.0,19.3,2,West,Consumer,shorts,Standard Class,5.79
40,0.2,64.86399999999999,4,West,Corporate,battery,Second Class,6.4864
41,0.2,31.2,3,Central,Consumer,chocolates,Standard Class,9.75
42,0.2,9.344,2,Central,Consumer,television,Standard Class,1.168
43,0.8,10.43,7,Central,Consumer,headset,Standard Class,-18.2525
44,0.6,76.72800000000001,3,Central,Consumer,shorts,Standard Class,-53.7096
45,0.0,6.54,1,South,Home Office,phone,Standard Class,3.0084
46,0.0,31.12,4,South,Home Office,lighting,Standard Class,0.3112
47,0.0,755.96,4,South,Home Office,colddrinks,Standard Class,204.1092
48,0.0,391.98,2,South,Home Office,colddrinks,Standard Class,113.6742
49,0.7,32.34,10,West,Consumer,headset,First Class,-23.715999999999998
50,0.0,609.98,2,South,Home Office,headset,Standard Class,274.491
51,0.0,2573.82,9,South,Home Office,tshirts,Standard Class,746.4078
52,0.0,12.78,3,South,Corporate,television,First Class,5.2398
54,0.2,19.535999999999998,3,East,Consumer,television,Standard Class,4.8839999999999995
55,0.8,3.54,2,Central,Home Office,headset,Standard Class,-5.487
